filename,xmin,ymin,xmax,ymax,class,label
hawaii_1_10158_2619_22122.jpg,394,265,415,292,2,unidentified object
hawaii_1_10158_2619_22122.jpg,150,550,191,578,2,unidentified object
hawaii_1_10158_2619_22122.jpg,307,301,332,340,7,processed wood
hawaii_1_11699_5374_23774.jpg,298,297,340,342,5,metal
hawaii_1_11979_11396_8780.jpg,268,275,370,365,5,metal
hawaii_1_1257_2569_16798.jpg,306,336,341,363,2,unidentified object
hawaii_1_1257_2569_16798.jpg,282,298,359,340,7,processed wood
hawaii_1_12678_2276_14885.jpg,302,302,337,337,2,unidentified object
hawaii_1_12678_2276_14885.jpg,202,186,232,220,2,unidentified object
hawaii_1_13649_3680_2952.jpg,253,247,385,392,5,metal
hawaii_1_1537_9617_13997.jpg,285,280,353,363,7,processed wood
hawaii_1_16010_6389_11168.jpg,545,183,622,252,5,metal
hawaii_1_16010_6389_11168.jpg,515,295,640,410,5,metal
hawaii_1_16010_6389_11168.jpg,203,192,435,447,5,metal
hawaii_1_16425_10635_22683.jpg,235,238,404,400,5,metal
hawaii_1_17944_3806_6579.jpg,275,277,365,364,3,net cloth
hawaii_1_17944_3806_6579.jpg,233,462,365,528,3,net cloth
hawaii_1_19047_17617_17893.jpg,293,291,343,341,6,tire
hawaii_1_19322_13899_9843.jpg,262,44,292,66,1,buoy
hawaii_1_19322_13899_9843.jpg,293,292,345,347,6,tire
hawaii_1_19322_13899_9843.jpg,461,26,536,100,6,tire
hawaii_1_19322_13899_9843.jpg,253,0,305,45,7,processed wood
hawaii_1_19322_14842_8362.jpg,525,389,567,426,5,metal
hawaii_1_19322_14842_8362.jpg,197,59,253,116,5,metal
hawaii_1_19322_14842_8362.jpg,497,520,550,577,5,metal
hawaii_1_19322_14842_8362.jpg,133,328,193,386,6,tire
hawaii_1_19322_14842_8362.jpg,221,182,291,255,6,tire
hawaii_1_19322_14842_8362.jpg,357,434,400,462,6,tire
hawaii_1_19322_14842_8362.jpg,278,280,352,352,6,tire
hawaii_1_19322_14842_8362.jpg,230,263,266,365,7,processed wood
hawaii_1_19322_16035_7802.jpg,123,407,167,465,5,metal
hawaii_1_19322_16035_7802.jpg,55,193,96,225,5,metal
hawaii_1_19322_16035_7802.jpg,273,277,365,362,5,metal
hawaii_1_2658_12351_11117.jpg,207,303,223,324,2,unidentified object
hawaii_1_2658_12351_11117.jpg,291,287,349,352,7,processed wood
hawaii_1_2794_12000_6071.jpg,307,307,332,332,1,buoy
hawaii_1_2794_12000_6071.jpg,98,190,118,212,1,buoy
hawaii_1_2794_5686_2355.jpg,192,233,220,263,1,buoy
hawaii_1_2794_5686_2355.jpg,101,177,128,202,1,buoy
hawaii_1_2794_5686_2355.jpg,324,217,344,246,2,unidentified object
hawaii_1_2794_5686_2355.jpg,213,13,245,41,2,unidentified object
hawaii_1_2794_5686_2355.jpg,335,37,374,70,2,unidentified object
hawaii_1_2794_5686_2355.jpg,237,163,282,208,2,unidentified object
hawaii_1_2794_5686_2355.jpg,181,138,240,190,2,unidentified object
hawaii_1_2794_5686_2355.jpg,267,246,290,265,2,unidentified object
hawaii_1_2794_5686_2355.jpg,575,441,602,475,2,unidentified object
hawaii_1_2794_5686_2355.jpg,504,456,546,494,2,unidentified object
hawaii_1_2794_5686_2355.jpg,91,113,128,160,5,metal
hawaii_1_2794_5686_2355.jpg,138,93,247,180,5,metal
hawaii_1_2794_5686_2355.jpg,286,271,317,300,6,tire
